Gender,Marital Status,Age,Education,Income,Occupation,Settlement Size
female,non-single (divorced / separated / married / widowed),42,university,144382.0,skilled employee / official,big city
female,single,42,high school,141735.0,unemployed / unskilled,small city
female,single,31,high school,89875.0,unemployed / unskilled,small city
male,single,29,high school,77912.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,173044.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),52,university,193290.0,management / self-employed / highly qualified employee / officer,big city
male,non-single (divorced / separated / married / widowed),41,university,136576.0,management / self-employed / highly qualified employee / officer,small city
female,single,42,other / unknown,143892.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),51,university,189541.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),47,graduate school,166056.0,management / self-employed / highly qualified employee / officer,big city
male,single,22,other / unknown,47780.0,unemployed / unskilled,small city
female,single,29,high school,78481.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),56,university,213945.0,skilled employee / official,small city
male,single,36,high school,112831.0,unemployed / unskilled,small city
female,single,49,high school,176848.0,unemployed / unskilled,small city
female,single,34,other / unknown,103636.0,unemployed / unskilled,small city
female,single,31,other / unknown,90740.0,unemployed / unskilled,small city
male,single,29,high school,77708.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),44,high school,151800.0,skilled employee / official,small city
male,single,34,high school,105093.0,unemployed / unskilled,mid-sized city
female,non-single (divorced / separated / married / widowed),58,university,220920.0,skilled employee / official,big city
female,single,39,other / unknown,127892.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,172982.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),37,university,117554.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),49,high school,177248.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),50,university,183458.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),44,university,152547.0,skilled employee / official,big city
male,single,32,high school,92683.0,unemployed / unskilled,small city
female,single,40,high school,134132.0,unemployed / unskilled,small city
male,single,45,other / unknown,158739.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),46,university,161953.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),46,university,161678.0,skilled employee / official,big city
female,single,43,high school,148755.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),52,university,193383.0,management / self-employed / highly qualified employee / officer,big city
male,single,33,other / unknown,98282.0,unemployed / unskilled,mid-sized city
male,single,26,high school,63022.0,unemployed / unskilled,small city
male,single,28,high school,75228.0,unemployed / unskilled,small city
male,single,26,high school,65016.0,unemployed / unskilled,small city
male,single,51,high school,186451.0,unemployed / unskilled,small city
female,single,39,high school,127681.0,unemployed / unskilled,small city
male,single,35,high school,109331.0,unemployed / unskilled,mid-sized city
male,non-single (divorced / separated / married / widowed),47,university,165814.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),38,university,122462.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),51,graduate school,188091.0,skilled employee / official,big city
male,single,24,other / unknown,57250.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),37,university,119071.0,skilled employee / official,big city
male,single,36,high school,114226.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),38,university,121506.0,management / self-employed / highly qualified employee / officer,big city
male,non-single (divorced / separated / married / widowed),41,university,137840.0,skilled employee / official,big city
male,single,38,high school,123165.0,unemployed / unskilled,small city
male,single,42,high school,143405.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),51,university,187225.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),38,university,122986.0,skilled employee / official,big city
male,single,30,high school,83088.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),56,university,211754.0,skilled employee / official,big city
female,single,30,other / unknown,82822.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),50,university,181865.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),46,university,165047.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),49,university,177495.0,skilled employee / official,big city
male,single,37,high school,120925.0,unemployed / unskilled,small city
male,single,29,high school,77658.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),54,university,203264.0,skilled employee / official,big city
male,single,38,high school,122940.0,unemployed / unskilled,small city
male,single,36,high school,113539.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,172187.0,skilled employee / official,big city
male,single,34,high school,104204.0,unemployed / unskilled,small city
male,single,28,other / unknown,74476.0,unemployed / unskilled,small city
male,single,42,other / unknown,141694.0,unemployed / unskilled,small city
male,single,37,high school,119971.0,unemployed / unskilled,small city
male,single,36,high school,115360.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,university,201015.0,skilled employee / official,small city
female,single,32,high school,93781.0,unemployed / unskilled,small city
male,single,35,other / unknown,107732.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),55,university,205892.0,skilled employee / official,small city
male,non-single (divorced / separated / married / widowed),42,university,141384.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),44,graduate school,154897.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),55,university,205243.0,skilled employee / official,big city
male,single,42,other / unknown,145414.0,unemployed / unskilled,small city
female,single,38,other / unknown,124826.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),61,university,238225.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),43,university,148193.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),56,university,211956.0,skilled employee / official,big city
male,single,33,high school,98522.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),43,university,146881.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),34,university,103388.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),40,university,134816.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),40,high school,132593.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),50,university,180034.0,skilled employee / official,big city
male,single,26,high school,64756.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),44,high school,154169.0,skilled employee / official,big city
male,single,39,high school,127466.0,unemployed / unskilled,small city
male,single,27,high school,68639.0,unemployed / unskilled,mid-sized city
female,single,39,high school,129699.0,unemployed / unskilled,small city
male,single,35,high school,106839.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),38,university,124227.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),52,university,194136.0,skilled employee / official,small city
male,single,33,high school,101196.0,unemployed / unskilled,mid-sized city
female,non-single (divorced / separated / married / widowed),44,high school,154735.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),56,university,211608.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),56,university,210817.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),62,university,240089.0,skilled employee / official,big city
female,single,32,high school,93445.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,172383.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),41,university,136006.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),50,graduate school,182535.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),37,graduate school,116577.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),47,graduate school,168518.0,management / self-employed / highly qualified employee / officer,big city
female,single,31,other / unknown,88849.0,unemployed / unskilled,small city
male,single,32,high school,93774.0,unemployed / unskilled,small city
male,single,34,high school,104542.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,132376.0,management / self-employed / highly qualified employee / officer,big city
male,single,22,other / unknown,44967.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),50,university,184142.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),54,university,203346.0,skilled employee / official,big city
female,single,31,high school,87981.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),58,high school,222065.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),46,university,160841.0,skilled employee / official,big city
male,single,29,other / unknown,79824.0,unemployed / unskilled,small city
male,single,38,other / unknown,125612.0,unemployed / unskilled,small city
male,single,29,other / unknown,80426.0,unemployed / unskilled,small city
male,single,33,high school,101292.0,unemployed / unskilled,small city
male,single,23,high school,50969.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),36,university,113854.0,management / self-employed / highly qualified employee / officer,big city
male,single,34,high school,102816.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,133397.0,management / self-employed / highly qualified employee / officer,big city
male,non-single (divorced / separated / married / widowed),60,graduate school,233408.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),36,university,113846.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),59,university,223925.0,management / self-employed / highly qualified employee / officer,small city
female,non-single (divorced / separated / married / widowed),54,high school,200927.0,skilled employee / official,big city
male,single,31,high school,87533.0,unemployed / unskilled,small city
male,single,37,high school,120693.0,unemployed / unskilled,small city
female,single,29,high school,80872.0,unemployed / unskilled,small city
female,single,27,other / unknown,68554.0,unemployed / unskilled,mid-sized city
female,non-single (divorced / separated / married / widowed),54,university,203811.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),50,university,184596.0,management / self-employed / highly qualified employee / officer,big city
male,non-single (divorced / separated / married / widowed),55,university,208035.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),57,university,217903.0,skilled employee / official,big city
male,single,28,high school,75632.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),47,university,166920.0,management / self-employed / highly qualified employee / officer,big city
female,single,33,high school,97794.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,graduate school,159751.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),48,university,174824.0,skilled employee / official,big city
female,single,36,high school,115568.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),47,graduate school,166402.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),48,university,170286.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),54,university,203359.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),51,university,185216.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),48,university,171444.0,skilled employee / official,big city
male,single,26,high school,63379.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),74,university,299928.0,skilled employee / official,big city
male,single,44,high school,155273.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),41,graduate school,138926.0,skilled employee / official,big city
female,single,33,high school,99551.0,unemployed / unskilled,small city
male,single,32,other / unknown,93615.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),52,university,193543.0,management / self-employed / highly qualified employee / officer,small city
male,single,24,high school,56400.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,graduate school,200050.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),50,high school,180793.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),35,university,107813.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),43,university,149026.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),40,university,132497.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),55,university,208216.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),48,university,172233.0,skilled employee / official,big city
male,single,38,high school,122299.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),46,university,161075.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),46,university,164547.0,management / self-employed / highly qualified employee / officer,big city
male,single,36,high school,116356.0,unemployed / unskilled,small city
female,single,41,high school,136855.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),61,university,236305.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),32,university,92673.0,skilled employee / official,mid-sized city
male,single,42,other / unknown,142937.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),58,graduate school,221877.0,management / self-employed / highly qualified employee / officer,big city
male,single,35,high school,109183.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),55,university,206084.0,skilled employee / official,big city
male,single,33,other / unknown,100708.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),47,university,167968.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),49,university,176916.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),47,graduate school,166585.0,skilled employee / official,small city
female,single,32,high school,95719.0,unemployed / unskilled,small city
male,single,42,other / unknown,145568.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),46,university,164906.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),50,university,181494.0,management / self-employed / highly qualified employee / officer,small city
female,single,26,high school,64559.0,unemployed / unskilled,small city
female,single,34,other / unknown,103700.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,university,156029.0,skilled employee / official,big city
female,single,34,high school,104014.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,university,156824.0,skilled employee / official,big city
female,single,51,high school,186650.0,unemployed / unskilled,small city
male,single,40,high school,131818.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,173218.0,skilled employee / official,big city
female,single,31,high school,90209.0,unemployed / unskilled,small city
male,single,29,high school,80530.0,unemployed / unskilled,mid-sized city
female,non-single (divorced / separated / married / widowed),46,high school,161748.0,skilled employee / official,big city
female,single,32,high school,95903.0,unemployed / unskilled,small city
male,single,44,high school,150791.0,unemployed / unskilled,small city
male,single,31,high school,91292.0,unemployed / unskilled,small city
male,single,36,high school,112075.0,unemployed / unskilled,small city
male,single,34,high school,104218.0,unemployed / unskilled,small city
male,single,27,other / unknown,70638.0,unemployed / unskilled,small city
male,single,38,high school,121821.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),46,university,163039.0,skilled employee / official,big city
male,single,47,high school,166026.0,unemployed / unskilled,small city
male,single,28,high school,74691.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),54,graduate school,202890.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),41,university,136645.0,skilled employee / official,big city
male,single,36,high school,112037.0,unemployed / unskilled,small city
male,single,37,other / unknown,117302.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),50,high school,182833.0,management / self-employed / highly qualified employee / officer,big city
male,single,30,high school,86452.0,unemployed / unskilled,mid-sized city
female,non-single (divorced / separated / married / widowed),48,university,173343.0,skilled employee / official,small city
male,single,35,high school,109911.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),52,university,191856.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),40,university,133387.0,skilled employee / official,big city
female,single,37,high school,118489.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),53,graduate school,198753.0,skilled employee / official,big city
male,single,30,high school,86388.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,134763.0,skilled employee / official,big city
male,single,32,high school,94427.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),44,university,150707.0,management / self-employed / highly qualified employee / officer,big city
female,single,36,high school,112539.0,unemployed / unskilled,small city
male,single,28,high school,72533.0,unemployed / unskilled,small city
female,single,31,high school,90579.0,unemployed / unskilled,mid-sized city
male,single,35,high school,107181.0,unemployed / unskilled,small city
female,single,42,other / unknown,145598.0,unemployed / unskilled,small city
male,single,27,high school,68723.0,unemployed / unskilled,small city
female,single,32,high school,93448.0,unemployed / unskilled,small city
female,single,33,other / unknown,98613.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),47,graduate school,165496.0,skilled employee / official,big city
male,single,38,high school,125093.0,unemployed / unskilled,small city
male,single,31,high school,91831.0,unemployed / unskilled,small city
male,single,34,high school,103691.0,unemployed / unskilled,small city
female,single,39,high school,126578.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),43,university,146238.0,skilled employee / official,big city
male,single,36,high school,115275.0,unemployed / unskilled,small city
male,single,30,other / unknown,84139.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),41,graduate school,140301.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),39,university,128963.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),44,university,152646.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),55,university,209029.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),41,graduate school,137228.0,management / self-employed / highly qualified employee / officer,small city
female,single,36,high school,114076.0,unemployed / unskilled,small city
female,single,36,high school,114968.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),47,university,167772.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),44,university,151915.0,skilled employee / official,small city
male,single,39,high school,129117.0,unemployed / unskilled,small city
male,single,35,high school,108684.0,unemployed / unskilled,small city
female,single,47,high school,166493.0,unemployed / unskilled,small city
male,single,38,high school,122656.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,graduate school,156805.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),52,university,193385.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),53,university,195846.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),54,university,202146.0,skilled employee / official,big city
male,single,22,high school,43711.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),47,graduate school,168836.0,skilled employee / official,big city
male,single,46,high school,162074.0,unemployed / unskilled,small city
male,single,27,high school,72429.0,unemployed / unskilled,mid-sized city
female,single,39,other / unknown,126342.0,unemployed / unskilled,small city
male,non-single (divorced / separated / married / widowed),58,university,221535.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),47,university,168139.0,skilled employee / official,big city
male,single,38,high school,121348.0,unemployed / unskilled,small city
male,single,36,high school,114952.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),51,university,185399.0,skilled employee / official,small city
male,single,43,high school,149313.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),40,university,134198.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),51,university,186550.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),57,university,217619.0,skilled employee / official,big city
male,single,33,high school,100219.0,unemployed / unskilled,small city
female,single,38,other / unknown,121725.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),48,university,173293.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),47,university,168729.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),45,graduate school,160294.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),45,university,160084.0,management / self-employed / highly qualified employee / officer,small city
female,single,30,high school,86829.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),59,high school,226671.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),42,university,140899.0,management / self-employed / highly qualified employee / officer,big city
female,single,30,other / unknown,86931.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),38,university,122128.0,skilled employee / official,small city
male,single,37,high school,117210.0,unemployed / unskilled,small city
male,single,46,high school,161651.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),49,university,177316.0,skilled employee / official,big city
male,non-single (divorced / separated / married / widowed),55,graduate school,208935.0,skilled employee / official,small city
male,non-single (divorced / separated / married / widowed),40,university,134377.0,skilled employee / official,big city
male,single,32,high school,95346.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),56,graduate school,213870.0,skilled employee / official,big city
female,single,39,high school,128796.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),58,university,221803.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),35,university,108562.0,management / self-employed / highly qualified employee / officer,big city
female,non-single (divorced / separated / married / widowed),53,university,198953.0,skilled employee / official,big city
male,single,28,high school,73149.0,unemployed / unskilled,mid-sized city
male,single,38,high school,125295.0,unemployed / unskilled,small city
male,single,30,high school,82332.0,unemployed / unskilled,small city
female,single,34,high school,103424.0,unemployed / unskilled,small city
female,single,40,other / unknown,131212.0,unemployed / unskilled,small city
female,single,27,high school,72319.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),53,university,197763.0,skilled employee / official,big city
female,single,45,high school,155893.0,unemployed / unskilled,small city
female,single,34,high school,103265.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),37,graduate school,117555.0,skilled employee / official,small city
female,single,33,high school,98443.0,unemployed / unskilled,small city
male,single,33,high school,98182.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,university,156663.0,skilled employee / official,small city
female,single,26,other / unknown,65950.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),45,university,156135.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),45,university,158629.0,skilled employee / official,big city
male,single,33,other / unknown,100448.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),63,university,245588.0,management / self-employed / highly qualified employee / officer,big city
female,single,35,high school,109384.0,unemployed / unskilled,small city
male,single,42,high school,144737.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),52,university,190912.0,skilled employee / official,small city
female,non-single (divorced / separated / married / widowed),41,university,137467.0,skilled employee / official,big city
male,single,30,high school,82924.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),63,graduate school,244997.0,skilled employee / official,big city
male,single,29,other / unknown,79480.0,unemployed / unskilled,small city
female,non-single (divorced / separated / married / widowed),37,university,119155.0,skilled employee / official,big city
female,non-single (divorced / separated / married / widowed),63,university,247878.0,skilled employee / official,small city
male,single,24,high school,56297.0,unemployed / unskilled,small city
male,single,38,other / unknown,121364.0,unemployed / unskilled,mid-sized city
male,single,31,other / unknown,88127.0,unemployed / unskilled,small city
male,single,34,other / unknown,103575.0,unemployed / unskilled,small city
male,single,28,other / unknown,75388.0,unemployed / unskilled,small city
male,single,37,high school,117856.0,unemployed / unskilled,mid-sized city
